tittle,text,domain,topic
"Liên t?c du?c con trai báo m?ng, bà m? kinh hãi khi nhìn th?y c?nh tu?ng khi tham m? con"," Vì m?i choi dùa mà c?u bé 5 tu?i vô tình roi xu?ng c?ng g?n nhà và thi?t m?ng khi?n ai cung ph?i dau xót. N?n nhân là m?t c?u bé 5 tu?i không may thi?t m?ng vì roi xu?ng c?ng rãnh thoát nu?c tru?c nhà gây xôn xao du lu?n Trung Qu?c. Ðu?c bi?t, mi?ng c?ng thoát nu?c này không du?c d?y n?p sau d?n 1,5m và ch?a d?y nu?c th?i. Vài gi? sau khi c?u bé g?p n?n ngu?i nhà m?i phát hi?n ra thi th? c?u bé",tinvn.info,Ð?i s?ng 
"Ai cung cham chú tu?ng bi?n s? xe có di?u gì kh?ng khi?p, s?c n?ng khi bi?t s? th?t l?i là…"," Hãy cùng chúng tôi di?m l?i nh?ng hình ?nh du?c c?ng d?ng m?ng chú ý và chia s? nhi?u nh?t trong tu?n qua nhé!
 Truy lùng hot girl xinh d?p d?ng cãi nhau tay dôi khi b? b?c xe, ai n?y d? b?ng m?t khi nhìn vòng 1 c?a cô nàng
 V?a cúi xu?ng thôi c?nh xuân li?n d?p vào m?t, huhu. Các anh em di du?ng chú ý c?n th?n không l?i gây tai n?n dó nhé!
 Dù có dang d?i chi?n game th? thì cung c?n ph?i b?o v? mình cái dã. Mua gió th? này bi?t du?ng nào mà l?n.
 Ph?i cut nhu th? này m?i g?i là ch?t hon c? nu?c c?t nè.",tinvn.info,Ð?i s?ng 
Chuy?n li kì ngu?i ph? n? c?u r?n h? chúa và b?y r?n h? tìm d?n nhà d?…," R?n h? mang (danh pháp khoa h?c: Naja atra) là m?t loài r?n thu?c H? R?n h? (Elapidae). Ðây là loài r?n xu?t hi?n t?i mi?n b?c Vi?t Nam và du?c ngu?i Vi?t quen g?i b?ng tên r?n h? mang. Trong ti?ng Vi?t, danh t? r?n h? mang b?t ngu?n t? hình d?ng c?a loài r?n này. ",tinvn.info,Ð?i s?ng 
"Ch? vài giây d?ng ch? dèn d?, ngu?i dàn ông này dã khi?n c? qu?c gia khóc thét khi tìm th?y di?m rùng r?n l?p ló trong áo","
 Nhi?u ngu?i không dám ra kh?i nhà cung ch? vì s? g?p ph?i nh?ng tru?ng h?p nhu th? này dây.
 R?t nhi?u cu dân m?ng nu?c ngoài nh?ng ngày g?n dây dang b? ch?n d?ng m?nh b?i m?t b?c ?nh du?c ch?p l?i t?i ngã tu. Tho?t d?u, ai cung nghi dó là b?c ?nh bình thu?ng, không có gì n?i b?t nhung khi nhìn t?i l?n 2, ai n?y d?u n?i da gà vì quá s?.
 Tr?i oi, trong v?t áo c?a ngu?i dàn ông di xe máy có th? gì kìa?",tinvn.info,Ð?i s?ng 
Ngu?i cha thú tính mang b?nh HIV v?n c.u?ng h.i?p con gái," Dù mang trong mình can b?nh HIV, y v?n n?i máu dê và dòi làm “chuy?n ngu?i l?n” v?i chính con gái m?i 9 tu?i c?a mình.
 Cha nghi?n n?ng và dã mang trong mình can b?nh th? k? HIV, m? b? di theo ngu?i dàn ông khác, bé N. v? v?t s?ng nuong nh? vào ông bà n?i. Sinh ra và l?n lên trong môi tru?ng giáo d?c không lành m?nh, c?ng v?i s? th? o c?a ngu?i thân khi?n cô bé 9 tu?i d?n dày và chai s?n t?i b?t ng?.",tinvn.info,Ð?i s?ng 
"Ch?a h?t b?nh câm cho v?, ngu?i ch?ng cay d?ng nhìn v? ra di tìm cu?c s?ng m?i vì lý do tu?ng ch? có trong phim", Tháng 10/ 2016 c?p dôi Tr?n Thanh H?i – Phuong Nhi gây chú ý v?i chuy?n tình c?m d?ng khi mà H?i dã ph?i qua vô s? áp l?c d? có du?c h?nh phúc v?i ngu?i v? b? câm. Theo nh?ng gì chàng trai này chia s? v?i báo chí thì khi gia dình bi?t H?i quen bi?t m?t cô gái b? câm dã không h? d?ng ý nhung anh dã quy?t tâm thuy?t ph?c b? m? d? du?c d?n v?i Phuong Nhi.,tinvn.info,Ð?i s?ng 
YÊU RÂU XANH (P51): Câu chuy?n d?ng tr?i sau t?m ri dô m?ng," T? câu chuy?n sau t?m ri dô. Gia dình bà H thu?c di?n nghèo khó ? TP. H?i Phòng. V? ch?ng bà H có t?i 8 ngu?i con (6 gái, 2 trai). Ngu?i con trai c? không may b? b?nh m?t s?m nên ch? còn l?i Bùi Ng?c Th?ng (34 tu?i) nhung Th?ng l?i ch?ng lo làm an, ch? cham c? b?c ru?u chè. Ch?ng ch?u n?i ngu?i ch?ng nhu v?y, v? th?ng dã ly d? r?i dua con gái v? nhà ngo?i ? Phú Th?. Sau dó, Th?ng l?i lên xin dón con v? ? cùng.",www.vietgiaitri.com/,Ð?i s?ng 
"Ðang suy s?p vì n? n?n, v? ch?ng tôi b?ng nh?n du?c giúp d? t? ngu?i l?","V? ch?ng tôi kinh doanh d?ch v? homestay du l?ch. Công vi?c dang ti?n tri?n t?t, chúng tôi vay mu?n ngân hàng xây thêm m?t can n?a thì d?ch bùng phát. Không có khách, bao nhiêu ti?n v?n b? d?n h?t vào can homestay dang xây d?ng khi?n v? ch?ng tôi kh?n d?n. Sau n?a nam c? g?ng c?m c?, ch?ng bàn b?c v?i tôi chuy?n bán tháo can homestay cu d? tr? n? ngân hàng. Nhung vì ph?i bán l? nên chúng tôi c? ch?n ch? mãi vì ti?c. Ð?n khi ti?n lãi và g?c dã vu?t quá kh? nang tr? n?, chúng tôi m?i cu?ng cu?ng lên.",afamily.vn,Ð?i s?ng 
5 n?t ru?i may m?n trên co th? b?n không bao gi? du?c xóa b? dó chính là phúc khí du?c vun d?p t? 'hàng nghìn nam nay',"Nh?ng ngu?i có n?t ru?i may m?n ? v? trí này nhìn chung thích h?p v?i chính tr? hon, d?c bi?t là ?ng c? trong quân d?i. Ngu?i có n?t ru?i ? tóc sau gáy ch?ng t? h? là ngu?i có tính cách ngông cu?ng, có tài làm tu?ng, c? d?i làm quan trong tri?u. ",ngoisao.vn,Y t? 
Làm d?p b?ng tr?ng gà lu?c giúp tr? m?n tr?ng cá,"Phuong pháp làm d?p da b?ng tr?ng gà không còn xa l? v?i các ch? em, nhung có l? ít ai bi?t làm d?p da b?ng tr?ng gà lu?c còn có nhi?u công d?ng d?c bi?t hon. Cùng tìm hi?u ngay trong bài vi?t du?i dây b?n nhé.",chuthapdo.org,Y t? 
Lan tr?ng gà lu?c,"Không ch? là th?c ph?m thom ngon giàu dinh du?ng, tr?ng gà còn có công dung tuy?t v?i trong du?ng da làm d?p. Nhi?u ch? em thuong r? tai nhau bí kíp dùng tr?ng gà lu?c lan trên da m?t d? làm nhan s?c tr? nên r?ng r? hon.",blog.shopbanmypham.vn,Y t? 
4 món an th?n thánh giúp ng?c cang m?y quy?n ru,"C?u t?o ng?c hoàn toàn là các mô m?. Do v?y khi b?n k?t h?p các lo?i nguyên li?u nhu m?t ong, tr?ng gà và s?a d?c trong m?t món an s? cung c?p protein, ch?t béo cho các mô m? hình thành ? ng?c và giúp ng?c s? to d?n lên.",shoptretho.com.vn,Y t? 
Nghiên c?u: Tóc b?c có th? den tr? l?i,"Tóc b?c là m?t trong nh?ng d?u hi?u lão hóa. Khi bu?c vào d? tu?i 30, tóc b?t d?u ng? màu theo th?i gian. Ngu?i ta thu?ng cho r?ng m?t khi s?i tóc dã chuy?n b?c thì s? không th? den tr? l?i, nhung m?t nhóm nghiên c?u t? Ð?i h?c Columbia ? New York l?i cho r?ng di?u này có th? không dúng.",trithucvn.org,Y t? 
Tu?i già s? th?t may m?n n?u có du?c 3 “lá bùa h? m?nh” này ,"Lúc còn tr? làm vi?c v?t v?, tr?i qua nhi?u thang tr?m và khó khan, r?i nháy m?t m?t cái thì tu?i già d?n. Nhung không ph?i ai cung có du?c m?t tu?i già an nhàn, s? xu?t hi?n nhi?u v?n d? khi?n b?n thân b?t an và lo âu. ",trithucvn.org,Ð?i s?ng 
Trí tu? c? nhân: Vuong tri?u di?t vong ?ng v?i thiên tu?ng d? thu?ng,"C? nhân cho r?ng gi?a Tr?i và ngu?i là có th? c?m ?ng, tác d?ng qua l?i l?n nhau, chính là “Thiên nhân c?m ?ng”, “Thiên nhân h?p nh?t”. D?a vào lo?i c?m ?ng này, ngu?i xua có th? thông qua s? bi?n hóa c?a thiên tu?ng mà doán bi?t tru?c du?c nhân gian s?p g?p ph?i chuy?n gì. Ð?c bi?t, trong các ghi chép l?ch s?, m?i vuong tri?u di?t vong d?u có thiên tu?ng d? thu?ng báo tru?c.",trithucvn.org,Ð?i s?ng 
"Ngày nào cung nhìn sang ban công nhà hàng xóm, c? ông U90 vô tình phát hi?n di?u b?t thu?ng","M?i dây, thông tin m?t c? ông vô tình c?u m?ng hàng xóm nh? phát hi?n ra m?t chi ti?t d?c bi?t ? ban công dã thu hút vô s? s? chú ý c?a du lu?n. Ðu?c bi?t, s? vi?c x?y ra t?i Quzhou, Chi?t Giang, Trung Qu?c .",24h.com.vn,Ð?i s?ng 
Cái k?t d?ng lòng c?a cô gái chê chàng trai nghèo,"M?t chàng trai nghèo dã ph?i lòng con gái c?a m?t gia dình giàu có. V?i t?t c? trái tim yêu thuong, chàng trai dã c?u hôn cô mà không m?y may nghi t?i s? khác bi?t gi?a hai ngu?i.",danviet.vn,Ð?i s?ng 
Bi k?ch yêu ph?i ngu?i con gái ph? b?c,"G?n m?t nam l?ng l? dã trôi qua, anh nhu ngu?i m?t trí s?ng trong c?nh d?a ng?c, m?t d?a ng?c mà anh t? bu?c vào d? gi? dây anh không tìm ra l?i gi?i thoát cho mình.",vietnamnet.vn ,Ð?i s?ng 
"Th?y v? n?m ""thoát y"" bên c?nh ông b?n thân, ngu?i ch?ng sôi máu vào chém g?c anh b?n già ","V? không m?c qu?n áo n?m bên c?nh ngu?i dàn ông khác, ch?ng h? t? x? và nh?n cái k?t d?ng ",,Ð?i s?ng 
"Bi?t 2 b?n thân chua bi?t mùi dàn bà, thi?u n? t?t b?ng t? nguy?n ... giúp 2 b?n di luôn vào tù ","Cùng nhóm b?n di choi r?i vào nhà ngh?, bé gái d?ng ý cho hai nam thanh niên quan h? tình d?c vào th?i di?m m?i 13 tu?i 10 tháng ",,Ð?i s?ng 
"Ðem di v?t c?a con trai d?t trong l? cúng 49 ngày, b? ch?ng sôi máu vung dao ""ti?n"" con dâu trong ngày gi? con ","Ðem di v?t c?a con trai di d?t trong l? cung 49 ngày, b? ch?ng sôi máu vung dao ""ti?n"" con dâu trong ngày gi? con ",,Ð?i s?ng 
"B? nhà di vì hay b? b? dánh, c?u bé 13 tu?i ph?c v? quý bà 3 ngày m?t l?n d?... d?i bát mì tôm su?t hai nam ","Ð?ng V?n Quân, quê ? Xuân Tru?ng, Nam Ð?nh, 13 tu?i dã b? h?c, ph?n u?t gia dình, d?t lên Hà N?i lang thang ",,Ð?i s?ng 
"Ch? vì mâu thu?n nh?, h? hàng dánh nhau kinh hoàng khi?n hai ngu?i ra di mãi mãi ","Hai gia dình là h? hàng c?a nhau, nhung mâu thu?n v? du?ng dây di?n và h? th?ng d?n nu?c. Sau khi dánh nhau b?ng hung khí, m?i gia dình có m?t ngu?i thi?t m?ng ",,An ninh 
"S?c: Ðang ""b?n pháo bông"" thi?u n? hang say, thanh niên ""tr?n nhu nh?ng"" b? ch?y khi b? phát hi?n ","Khi dang hi?p dâm thi?u n? 17 tu?i, Nam b? ngu?i dân phát hi?n, hô hoán, du?i b?t. Lúc này gã m?i buông n?n nhân ra r?i b? di ",,Ð?i s?ng 
L?nh ngu?i ngu?i m? b? chính con ru?t "dóng g?ch" trong dêm hai nháy ,"Ngu?i m? kh? dau ?y dã n?c lên thành ti?ng khi k? v? cái dêm d?nh m?nh, b? chính d?a con mà mình yêu thuong h?t m?c làm chuy?n d?i b?i ",,Ð?i s?ng 
"Nh?u say, thi?u niên dè ng?a bà lão 86 tu?i hai nháy r?i ng? luôn t?i hi?n tru?ng m?c cho bà kêu c?u ","Sau khi no say chán chê, tên yêu râu xanh này còn vô tu v? nhà dánh m?t gi?c m?c cho n?n nhân th?u thào kêu c?u ",,Ð?i s?ng 
"Yêu th?m ch? dâu, thanh niên dánh thu?c mê: ch? ch? vào khách s?n th? t?m d? tu th? r?i sát h?i dã man ","Yêu th?m ch? dâu, thanh niên dánh thu?c mê: ch? ch? vào khách s?n th? t?m d? tu th? r?i sát h?i dã man ",,Ð?i s?ng 
"Th?a Thiên Hu?: nhà b?c cháy khi b? m? v?ng, cháu bé may m?n thoát thân",V? cháy x?y ra t?i m?t can nhà dân trên d?a bàn thành ph? Hu? khi?n nhi?u d? dùng trong nhà b? thiêu r?i ,,Th?i s? 
Bình Thu?n: C?nh sát yêu c?u cung c?p tài li?u giám d?nh v? trang tr?i heo ,UBND t?nh Bình Thu?n dã xu?t chi hon 1 t? d?ng d? c?p b? sung cho Công an t?nh th?c hi?n giám d?nh tài s?n trang tr?i chan nuôi heo này ,,An ninh 
X??ót?? x??a?? m??? “n??úp??” t??r??o??n??g?? t??? q??u??a??y?? l???i?? c???n??h?? c??h??a?? d??u???n??g?? “n??h??ún?? n??h???y??” c??o??n?? m??ìn??h?? n??h??i???u?? l???n?? d??? t??? c??áo??,"N???u???? m?? b????t? ?????? b?? ??u?????? b???? ??h?u????? l???? k?h?ô????? ??ám? l?ê??? t????????, ??h??? d???? k?h??? ??ã ??h??? ??u?????? d?ã t?h???? h?????? h?à??h? ???? ??à?? ??h?????? l????.",,An ninh 
"“Ma men” d?n l?i , “yêu râu xanh” vào ?h?`?? “t?c váy” em gái c?a b?n r?i b? di và cái k?t","Trong hoi men, nam thanh niên dã n?i con d?c v?ng mu?n hãm h?i thi?u n? 16 tu?i.",,An ninh 
"“Q?u?ý b?à” c??u? k??t? v??i? “p?h?i? c?ô?n?g? t?r??” t?i??n? c?h??n?g? v?? t?r??i?, d?? n?g?o??i? t?ìn?h? c?ô?n?g? k?h?a?i? k?h?ô?n?g? a?i? l?àm? p?h?i??n?","Ð???n??g?? V??a??n?? T??h??? v??à v??? a??n??h?? L??ý V??a??n?? T??r??u??n??g?? c??ó q??u??a??n?? h??? t??ìn??h?? ái?? v???i?? n??h??a??u??, n?????n?? h??a??i?? n??g??u???i?? d??ã c??â??u?? k???t?? t??ìm?? c??ác??h?? g??i??.?t?? T??r??u??n??g?? d??? t??h????a?? m??ãn?? ý d??? n??g??o???i?? t??ìn??h?? c???a?? 2 n??g??u???i??.",,An ninh 
"G?ã t?r?a?i? d??p? “g?? t?ìn?h?” c?ùn?g? l?úc? 7 n?g?u??i? d?àn? b?à “h??i? x?u?â?n?”, l??a? t?i??n? t?? c?òn? k?h?i??n? 3 n?g?u??i? d?ín?h? b??u?",G??ã d??àn?? ô??n??g?? c??a??o?? t??a??y?? ‘d??i?? l???i??’ c??ùn??g?? l??úc?? v???i?? 7 n??g??u???i?? d??àn?? b??à d??a??n??g?? c??ô?? d??o??n??,,Ð?i s?ng 
"H?i Phòng: Xúc d?ng khi B? con ngu?i dàn ông “n?ng 28kg” có “nhà m?i”, cu?c s?ng sang trang","A?n?h? ??à v?à ??o?n? t?r?a??? ??ã ??u????? ? t?r?o?n?g? ??a?n? n?h?à ?m? ??ún?g?, v??n?g? ??h???? n?h?? s?? g???ú?? ??? ???a? b??n? ?????? ??â?n? t?r?í v?à ??á?? t?? ??h???? t?u?` t?h????n?, n?h?à h??o? t?â?m? ??h???? b??n? ??h?u??o??n?g?.",,Ð?i s?ng 
Ðà N?ng: X? ph?t tài x? ch?n du?ng doàn xe uu tiên su?t do?n dài  ,"T?r?o?n?g? l?úc? d?i? c?h?u?y??n? t?r???n? d?u??n?g? T?r?u??n?g? S?o?n? (Q?L?14B?, d?o??n? q?u?a? t?r?u?n?g? t?????m? T?P?.Ð?à N??n?g?), t?ài? x?? x?e? d??u? k?éo? d?ã p?h??t? l?? h?i??u? l??n?h? v?à n?h??c? n?h?? c??a? l??c? l?u??n?g? c??n?h? s??t? g?i?a?o? t?h?ô?n?g?, c?h??n? d??u? d?o?àn? x?e? u?u? t?i???n? s?u??t? d?o??n? d?u??n?g? d?ài?.",,Giao thông 
Kinh hoàng tài x? phê ma túy lái xe 200 km/h ch?y tông vào vách núi ,"6 ngu?i ch?t, 39 ngu?i b? thuong trong v? tai n?n xe ch? khách trên du?ng cao t?c Suhua ",,Giao thông 
"Ði ch?a ""can"", cô gái 21 tu?i b? yêu râu xanh d?i l?t th?y cúng ""truy?n d?ch"" quá li?u d?n d?n sình b?ng ","L?i?ê?n? q?u?a?n? d??n? v?? v?i??c? t?h??y? c?ún?g? c?h??a? ‘c?a?n?’ k?h?i??n? c?ô? g?ái? 21 t?u??i? m?a?n?g? t?h?a?i?, C?ô?n?g? a?n? H?.T?h?a?n?g? B?ìn?h? (Q?u??n?g? N?a?m?) c?h?o? b?i??t? v?? c??a? b?? c?a?n? L?i?ê?n? v?à m?? c??a? n??n? n?h?â?n? c?ó q?u?a?n? h?? b?à c?o?n? v??i? n?h?a?u?",,An ninh 
8 h?c sinh ch?t du?i nu?c khi di tham quan ? bi?n ,"9 em h?c sinh THCS r? nhau ra bãi cát sông Ðà (Hòa Bình) choi, 8 em b? du?i nu?c. Hi?n thi th? các em dã du?c dua lên b? và dang bàn giao cho ngu?i thân",,Th?i s? 
G?ã b??o? v?? “d?i?ê?n?”c?h?u?y?ê?n?”s?o?i?” n?h?à v?? s?i?n?h? d?? s?à.m? s?.? n?h?i??u? h??c? s?i?n?h? n?? k?h?i??n? n?h?i??u? n?g?u??i? d??y? s?ón?g?,"“N?h?i??u? p?h?? h?u?y?n?h? k?h?ô?n?g? k?h??i? p?h??n? n?? k?h?i? n?h??n? t?i?n? g?ã b??o? v?? “d?i?ê?n?” d?? t?r?ò d??i? b??i? n?g?a?y? t?r?o?n?g? m?ô?i? t?r?u??n?g? ‘h??c? d?u??n?g?’ d?i??u? d?án?g? l?ê?n? án? h?o?n?, ô?n?g? c?h?u?y?ê?n? ‘s?o?i?’ t?r??m? n?h?à v?? s?i?n?h? d?? s?àm? s?? n?h?i??u? h??c? s?i?n?h? n??. T?h?e?o? t?h?ô?n?g? t?i?n? t?? c?o? q?u?a?n? c?h??c? n?a?n?g?, n?g?h?i? p?h??m? d?ã b?? b??t? g?i?? v?à t?i??n? h?àn?h? d?i??u? t?r?a? t?h?e?o? q?u?y? d??n?h? c??a? p?h?áp? l?u??t?..”",,An inh 
"T?â?y? N?i?n?h?: B??t? n?h?óm? m?a?n?g? m?ã t??u? d?i? t?h?u? t?i??n? b??o? k?ê?, c?u??n?g? d?o??t? t?ài? s??n?","B?a?n?g? n?h?óm? c??a? T?r??n? H??u? L?àn?h? m?a?n?g? d?.a?.o? t?? c?h??, m?ã t??u? d??n? c?ác? q?u?án? c?à p?h?ê? t?h?u??c? t?h?? x?ã H?òa? T?h?àn?h? v?à D?u?o?n?g? M?i?n?h? C?h?â?u? (T?â?y? N?i?n?h?) d??p? p?h?á t?ài? s??n?, d?e? d??a? c?u??n?g? d?o??t? t?ài? s??n? c?h?? q?u?án? v?à y?ê?u? c??u? n??p? t?i??n? b??o? k?ê? 500.000 d??n?g?/n?g?ày?.",,An ninh 
Thanh niên dè ng?a cô hàng xóm làm 7 hi?p d?n ná th? sau khi hít keo con chó ,"Sau khi hít keo con chó, Son l?n vào nhà ch? T.  sau dó kh?ng ch? ngu?i ph? n? này d? th?c hi?n hành vi hi?p dâm. ",,An ninh 
"""Yêu"" cùng lúc 4 anh d?n ""nh?p vi?n"", thi?u n? nhanh trí nh? công an tìm b? c?a con mình ","Cùng quan h? v?i b?n gái m?i 15 tu?i quen trên Facebook v?a b? nhà di t?i nhà ngh?, 4 thanh niên tu?i dôi muoi dã b? b?t kh?n c?p v? hành vi giao c?u v?i tr? em ",,An ninh 
"Ð???i? c?a? “H?a?i? L?u??n?g?”, k?? c???m? d???u? v?? n??? s?ú?n?g? h??n? c?h?i???n? k?i?n?h? h?o?à?n?g? ?? mi?n Tây b??? t?óm?","Võ? Van? L?u?on?g? (t???c? H?a?i? L?u??n?g?, 35 t?u???i?), d???i? t?u??n?g? c???m? d???u? b?an?g? n?h?óm? v?à? Ð?o?à?n? T?h?i?ê?n? L?o?n?g? (21 t?u???i?), n?g?h?i? c?a?n? t?r??c? t?i???p? n??? s?ú?n?g? c?ùn?g? 6 d??n?g? b??n? k?h?á?c? t?r?o?n?g? v?? h??n? c?h?i???n? k?h?i???n? 6 n?g?u???i? t?h?u?on?g? v?o?n?g? ?? P?h?ú? Q?u???c? d?ã? b??? b???t?.",,An ninh 
"Gi?a?n?g? h?? d???t? B???c? d??? b??? v?à?o? m?i???n? T?â?y? c?h?o? v?a?y? n???n?g? l?ã?i?, x?i???t? n?? t?h?e?o? k?i???u? x?ã? h???i? d?e?n?","9 t?h?a?n?h? n?i?ê?n? t?h?u???c? h?a?i? b?an?g? n?h?óm? t?? H???i? P?h?òn?g? v?à?o? An? Gi?a?n?g? c?h?o? v?a?y? n???n?g? l?ã?i?, t??? c?h???c? s?i???t? n?? k?i???u? x?ã? h???i? d?e?n?.",,An ninh 
N? sinh m?t mình cân 6 thanh niên su?t dêm trong nhà ngh? ,"Thông qua m?ng xã h?i Facebook và b?n bè bé gái 13 tu?i dã quen bi?t v?i nhóm thanh niên 6 ngu?i ? L?ng Son. Sau dó, cô bé dã l?n lu?t ch? d?ng giao c?u v?i c? 6 ngu?i thanh niên. Cá bi?t, cô bé này dã ch? d?ng giao c?u li?n v?i 3 thanh niên trong cùng m?t th?i di?m. ",,Ð?i s?ng 
"Chân dung yêu râu xanh nh?n tâm sát h?i thi?u ph?, trong con thú tính r?i gi? v? vô can di báo án ","Chua d?ng l?i con diên cu?ng c?a m?t yêu râu xanh, trong con thú tính, Th? nh?n tâm sát h?i thi?u ph? r?i sau dó gi? v?  vô can di báo công an ",,Ð?i s?ng 
"S?c: Hai n? sinh l?p 7 dùng chung b?n trai khi?n ngu?i mang thai, ngu?i m?c b?nh sùi mào gà ","Hai n? sinh l?p 7 dùng chung b?n trai khi?n ngu?i mang thai, ngu?i m?c sùi mào gà ",,Ð?i s?ng 
"Ðòi quan h? nhi?u l?n mà không có quà, n? sinh l?p 12 ti?n luôn b?n trai lên bàn th? trong nhà ngh? ","Sau nhi?u l?n h?a t?ng quà, cho ti?n ân ái nhung không th?c hi?n, Phùng Th? Thanh dã dùng dao dâm ch?t anh Lê H?i Ð ",,Ð?i s?ng 
Qu?ng Nam: Xe máy tông trúng con bó dang qua du?ng m?t ngu?i t? vong ,"Theo dó, chi?u nay, anh K, cán b? d?i qu?n lí th? tru?ng huy?n Ð?ng Giang luu thông d?n do?n xã Ð?i Phong, huy?n Ð?i L?c, t?nh Quan Nam thì tông vào m?t con bò dang bang qua du?ng. ",,Giao thông 
Chuy?n v? c?u bé 9 tu?i di 20 km lu?m ve chai m?i ngày khi?n CÐM rung rung xúc d?ng ,"Không ph?i ai sinh ra cung du?c s?ng trong m?t gia dình d?y d? h?nh phúc. Có r?t nhi?u em nh? ngay t? khi còn r?t bé dã làm vi?c ki?m ?ng, cung không có m?t gia dình d?y d? c? cha l?n m?. ",,Ð?i s?ng 
H?i Phòng: Xem xét gi?m 50% phí h? t?ng c?ng bi?n d?i v?i hàng hóa v?n chuy?n b?ng du?ng th?y n?i d?a ,"HÐND TP H?i Phòng dang l?y ý ki?n nhân dân v? vi?c mi?n, gi?m phí s? d?ng công trình k?t c?u h? t?ng, công trình d?ch v?, ti?n ích công c?ng trong khu v?c c?a kh?u c?ng bi?n H?i Phòng ",,Giao thông 
Vay ti?n mua xe ô tô nhung không tr? n?i ch? xe bán l?y ti?n tr? n? r?i di tr?m l?i ,"Sau khi vay mu?n ti?n ngân hàng mua xe ô tô nhung không tr? du?c n?, Ph?m Vi?t H?i dã mang xe di bán cho ngu?i khác l?y ti?n tr? ngân hàng r?i tr?m l?i xe mang di c?m c? ",,Ð?i s?ng 
Hy h?u câu chuy?n "Hoán d?i v? ch?ng" d? th? c?m giác l? ? Bình Thu?n và cái k?t bi th?m ,Câu chuy?n "hoán d?i v? ch?ng" c? nghi ch? có ? trong phim nhung dó l?i là chuy?n th?t c?a m?t c?p dôi ? Bình Thu?n khi?n nhi?u ngu?i bàn tán xôn xao,,Ð?i s?ng 
"Mu?n mua Iphone 14 t?ng b?n gái, thanh niên d?p chai bia vào d?u, báo b? cu?p d? g?t ti?n nhà dua mình tr? n? ",Công an huy?n Vi?t Yên dang ti?n hành l?p h? so d?i v?i Ð? Xuân Duong d? x? lí v? hành vi "Báo tin gi? v?i l?c lu?ng công an" ,,An ninh 
"Cô gái b? thanh niên di SH gi?t dây chuy?n, tài x? taxi tung cu?c h? g?c tên cu?p ","B?an d?u tu?ng dôi tình nhân dang cãi nhau, nhung sau dó nghe cô gái hô ""cu?p, cu?p"", tài x? taxi li?n m? c?a và ""tung cu?c"" h? g?c d?i tu?ng. ",,An ninh 
"?m lòng c? bà b?nh t?t du?c dôi v? ch?ng nghèo nh?n v? cuu mang, cham sóc nhu m? ru?t ","Ngu?i ta thu?ng b?o, ngu?i già s? du?c s?ng h?nh phúc, sum v?y bên con cháu. Nhung dâu dó trong cu?c d?i này, v?n có nh?ng c? già không gia dình, còn cái, hàng ngày l?m lui trong s? cô d?c, dói nghèo ",,Ð?i s?ng 
